id	text	class_label
84	To receive the OTP took time however I was eventually able to log in. I see my negative result of 21st April however my latest test was on 5th May and got my result as negative on 7th May. App needs to update latest record for accuracy.	1
85	Not able to register even I received OTP. It says error registering	1
86	Good app	0
87	Easy to setup and use	0
88	Wow	0
89	Excellent App	0
90	Good	0
91	Nice	0
92	The app cannot be activated on a Samsung Note 20 Ultra, coonected to a wifi network @ 450 Mbps! Could get it to work after several re-installs but still the app shuts down after a minute. Same on my wife's note 10...	1
93	The apps keeps stopping always. I uninstall n reinstall 6 times already. It didn't get better n smoothly work	1
94	Proud to be a Bahraini ??	0
95	Two days in a row the app tells me I am in "higher risk" and says I've been in contact with 4 people. That is just not possible as I have not left my house thus certainly not been in contact (less than 2 meters for 15 minutes) with anyone infected. Please review the range check of the app.	1
96	I cannot make an account because it says that my IC number is invalid. It does not make sense,how can I IC number be invalid. Please fix your problem.	1
97	Very fast scans of QR code and love that you have added the Favourites section! Is it possible to allow users to rearrange the Favourite locations?	0
98	Love the app. Teaches to be cautious	0
99	I can't get this to work. It keeps staying my phone number is invalid. I've tried with and without the leading zero. The app doesn't recognise either.	1
100	I am from Scotland and I deleted this app, the reason for this is when I installed app it says enter a mobile number, the number is foreign and its only 8 digits long, while UK starts +44 then 11 digit numbers, so since it doesn't work for Scotland or UK I ended up deleting it because can't even get by the first phase.	1
101	Keeps you informed everyday	0
102	I hope can help but my covid test last October 1,2020 did not appear how and impossible I don't have result.	1
103	It's always reflecting wrong NRIC.	1
104	Clean and neat as it should be	0
105	Useless app	1
106	I've tried installing/uninstalling numerous times but get some "error 17" so can't use it. Also, lack of English. Totally pointless.	1
107	Very easy and good working	0
108	If people from overseas cannot return to their international destinations with no flights what is your advice pls.	1
109	Battery drain .. went from 38 hours battery to max 4. Removed app and all sorted.	1
110	I didn't get my result after 48 hours. What happening here....	1
111	Where is the source code? Is public money and is tracking out location, source code to be able to trust it. Edit: thanks for the response, but other European countries does open their source code to allow the public to trust it. Even when is a failure. Uk for example.	1
112	Good	0
113	Great to see this app. Easy to use but quite a few people I've shared it with can't download the app for some reason. It won't be effective if everyone can't use it. ???????	0
114	Why didn't developers think that there are many foreigners in Poland who don't speak Polish?	1
115	Tnx	0
116	Drains battery	1
117	Very useful App.. But need frequently charging due to the draining of energy.So Pls solve the issue..	0
118	It is ok I guess	0
119	Good	0
120	Why this not available for IOS devices!! Where now in Bangladesh many of people using IPhone.	1
121	Its rubbish, it wont finish set up so is useless	1
122	Great	0
123	Very good	0
124	why you Turkish guys dont deliver you services in English ? when your country is touristic and a lot of foreigners living here you don't use English as well. it is annoying.	1
125	Not working	1
126	Useful	0
127	Force close di android 5 Xiaomi redmi 3 pro	1
128	An absolutely useless app that doesn\u2019t work unless you walk around with your phone unlocked and the app open. Counting download rates doesn\u2019t count the apps effectiveness.	1
129	Easy to register and increase safety measures.	0
130	Good	0
131	Seems working fine, not requesting permissions that are not needed	0
132	Nice	0
133	good	0
134	The app is working fine. Simple and professionally done! Congratulations! But I have a question about the algorithm.Can the app differentiate if someone carries his mobile on his/her body or if it it's located in a bag or the wardrobe box, far away from the user? E.g fitness center, swimming pool etc... I know several people who do not install SWISSCOVID because they are afraid getting false alarms	0
135	It completely destroyed other bluetooth connections (e.g., switch other bluetooth devices off). I deleted this app initially, but since I visit my clients often recently, I reinstalled it again to be a responsible person. I think it is a good idea to give us an option to switch off this app when we don't need to use it (e.g., sleeping).	1
136	The app is great and works fine, but for samsung user's it seems to have some issues such as the bluetooth connectivity is always turned on, notification sounds occurs every 2-3 min, some cases the screen is on until the app is forcefully stopped or till the screen lock button is pressed( screen timeout doesn't work). Hope so in the coming update all these bugs will be fixed.	1
137	Keeping me informed ???? thanks for letting me know	0
138	last update has ruined this app .. it doesn't work anymore	1
139	The app is simple, doesn’t get in my way, shows useful information about how to use it and importantly, doesn’t show any noticeable difference to battery usage.\n\nFor all those writing on Facebook, Twitter, etc about privacy concerns, you have much better privacy with this app than the social media platforms you’re writing your concerns on. Plus you have the ability to help limit the spread of COVID-19.	0
140	Why can't make the profile, i mean NRIC work permit i submitted my FIN number then it will be show invalid..... Any idea please!!!	1
141	Install the apps, but keep showing connection error. Even restart the phone, also the same.	1
142	I cant register, this is very bad apo	1
143	simple an safe	0
144	Thardcalss apk	1
145	It's nice app	0
146	we'll lose battery before we even know if someone's infected.	1
147	Nice! This is like a fast Corona test	0
148	37 ? I think it would be better if there was a map showing nearby corona infected people by marking their location with a label of distance from mine. And I hope every possible person using a smartphone will use this app and help each other to know and safe us from corona. Thanks Corona Tracer BD Team	1
149	I work in the epicenter of COVID-managing hospital, among confirmed cases with very close contact, and I didn't have a single notification to date. As long as this app depends on any individual downloading and reporting themselves, it's as useless as it could be.	1
150	Good	0
151	I can't log ij	1
152	It's giving me your number it's not register the number I'm using more than 6 years please try to fix this	1
153	Every time I open it, it is not active, it's always saying to disable battery optimisation, when you 'allow battery optimisation' it turns back on. Try again the next day. It doesn't seem to keep the setting. Very big flaw as you don't even know that the app has de-activated itself.	1
154	Best \ud83d\udc4d\ud83d\udc4d love \ud83d\ude18\ud83d\udc93\u2764\ufe0f it	0
155	App was fine until yesterday and now killing the battery on the phone. This really needs to be fixed ASAP as either everyone will uninstall the app or will be going around with a dead phone battery defeating the purpose completely. My phone is down to 55% already this morning after 1 hour and its a new phone.	1
156	very nice app	0
157	Good	0
158	Thank you for your kind notice.	0
159	Hi Admin, I am using Huawei P40 pro handphone. In the process of downloading trace together app, after I insert my handphone number to get my OTP, it stop responding. I have email your admin to assist with this problem but did not receive any reply though I send in 3 to 4 emails for assistance. Please advice how to resolve it. Regards Jason Hi Admin, I have installed Google playstore in my phone. The trace together app is download from google playstore.	1
160	All are encourage to download the apps and on it. Just remember to charge your handphone regularly. Help ourselves and others around us	0
161	Good	0
162	Poor app	1
163	Does not seem to be working	1
164	Download impossible	1
165	Good	0
166	Eating up the battery	1
167	Useless	1
168	Good	0
169	Liked the App. Good job done on it and looks very effective but I am sad to say that the fact it uses Bluetooth it drained 10% out of my Battery in just 2 minutes. So sorry but I have just uninstalled the App. If mobile data gets utilised for it in the future I will definitely reinstall and use then once I know my battery will not drain away.	0
170	Being an app developed by gov, wohld have expected auto filling of info using Myinfo from Singpass! And still need to ask for date of issuance for IC...what has that got to do wth contact tracing? Come on please make it less of a hassle for ppl to start using the app.	1
171	It works as intended. Without collecting and storing unnecessary data	0
172	English option is needed Why cant we log the trajectories of our commute to work ... and highlight high risk zones to make sure we avoid these zones	1
173	Good	0
174	***Experiencing Invalid Phone Number Issues?*** Turn off your wifi, and try again. This isn't mentioned in the app anywhere, but it should fix your problems.	1
175	Originally gave this a high review. Since then I have had a lot of issues with my phone maintaining connection with other Bluetooth devices. The worst instance was when it unpaired with my car which rendered my navigation and voice control unusable until I rebooted and re-paired it. Also suffering significant battery drain on a phone that can usually go 2 days without a recharge (galaxy a70). Also noticing shorter battery on my smart watch as it has to keep reconnecting to the phone as well.	1
176	TraceTogether everyone need to be downloaded, Sad but really I see here 1 million + out of 5 million people in Singapore have downloaded	0
177	Terrible keeps turning itself off	1
178	Seems to have no I'll effects to my phone. I certainly trust the Australian government with some data than various corporations that will sell it to just about whoever is willing to pay.	1
179	Seems to me a pretty useless app. Most functions are weblinks taking users from the app to websites.	1
180	I can't be table to update, keeps telling me update but nothing is happening, I'm really disappointed, please fix	1
181	not proper check âœ…	0
182	GOOD	0
183	Lousy. App waste data and battery. MOM Officer made us download	1
184	Error requesting OTP	1
185	Prevents my phone from going into deep sleep, which means my phone is constantly awake even when I'm not using it (while I sleep). Drains battery as well, top 5 battery hog in battery usage. Can you fix it so that it doesn't prevent phone from entering deep sleep.	1
186	Ok g	0
187	Battery drainer!!!	1
188	I can't enter the OTP \ud83d\ude11	1
189	Drained my battery ?? completely had to stop it	1
190	My 2yr old Oppo battery will not handle the continuous draining when I m on 12 HR duty n no charging.. Can u rectify problem?? Tq	1
191	Error for register..redmi note 7	1
192	Great initiative ... Get onboard and then we can get back to real life	0
193	This app messes with my microsoft bluetooth mouse and keyboard, so I have to switch it off when charging my phone at home. I turn on bluetooth and run the app only when I go out from now on. Please fix this problem ASAP. Also Android keeps nagging about its power use.	1
194	The app is eating my batteries life. There been no notification on the app to say there was a problem. The information given on the App is pretty useless. The App could have been used to communicate information about ongoing corvid activities such as lockdown events, use of face covering, the daily figures issued by the HSE. The HSE are missing an opportunity to communicate relevant information to App users. The App is a good idea but could be utilised more.	1
195	Killed my battery from 100% to 0 in 6 hours overnight I don't know what happened in the last few days but I had to uninstall it from my wife's phone and my mother's phone too .	1
196	Good	0
197	Gud This app	0
198	The worst app I ever seen. I have installed it and was able to access till 23 Dec 2020 but its throwing 403 forbidden error. I try to reinstall it now but facing issue while trying to register.. I have flight tomorrow morning but noone is helping me out here	1
199	App won’t even allow me to log on, even after multiple attempts. App will either not resend login authentication code, or refuses to accept the code that it sent! WHY AM I REQUIRED TO USE AN APP THAT IS COMPLETELY UNWORKABLE?	1
200	Good initiative. We might not know whether we got in close contact with a COVID patient until some one informs us or when we start showing symptoms. I would definitely recommend the app installed on our phone to save our lives as well as others.	0
201	Its vitable	0
202	Can't register, how dumb is that.	1
203	So nice	0
204	Why the hell discovered like this app its not even useful useless	1
205	Why are you asking the S-Pass Serial No? People waiting for S-Pass card delivery or collection are unable to register in this application. Please reply how people can register without S-Pass Serial No.	1
206	Drains my battery quickly!	1
207	Easy to install. Nicely bilingual. Weekly(?) reminders it is running are a nice touch.	0
208	Glad to help	0
209	Good	0
210	Loved!!	0
211	Good apps	0
212	Nice	0
213	Good	0
214	This app not bad but it's not useful in this corona virus time. If they are connected directly to health ministry and supported to all covid medical then it's very much effective......." Thank read my comment".	1
215	Good apps. keep it up more updates...	0
216	in my samsung j3 barcode not showing properly. I can't use this app for workplace check in	1
217	This bad app doesn't work. The game of looting money is going on.	1
218	Usfull	0
219	Doesnt open crashes after latest update	1
220	Draining battery after upgrading app.	1
221	Runs down batt much too fast	1
222	After using Student pass and putting all the info. It keep saying they are not available or something like that. It keeps showing it. Therefore 1 star	1
223	This application is amazing	0
224	More experience	0
225	Unable to complete the registration because I can't select my nationality.	1
226	No ad which is good	0
227	App doesn't accept phone number, claims it's invalid.	1
228	Waste of time	1
229	Good and very helpful app ,to make sure we are not affected by corona virus. ðŸ˜ŠðŸ˜‡	0
230	Nice	0
231	Invalid phone number?? Every time I try and get the pin to activate it tells me my mobile number isn't valid??	1
232	Very bad	1
233	Not I don't want to sign up. At the "Enter your mobile number" page, there is an error verifying phone number. Network error (such as timeout, interrupted connection or unreachable host) has occurred. there is not even a contact details which I could reach out to contact with such incidents..	1
234	Gives a false sense of security since you have to manually open it frequently to check if you've been exposed.	1
235	My mobile can't able to download latest version please guide me	1
236	Simple, privacy compliant and open source. Several technical hurdles have been overcome, but disinformation and misinformation about tracking is the biggest challenge. Hopefully people will inform themselves from reliable sources and enough people will install it to make it effective.	0
237	Now it's brilliant	0
238	Good that there is group check in now. It will help shorten queues at entrances of shops & eateries	0
239	Cant quit without force stopping.	1
240	Terrible Unable to enter the code Waste if time for me Not going to try anymore	1
241	Map is not updated	1
242	It is working	0
243	battery waister	1
244	Its only checked once in the last 14 days if I have been in contact with someone with Covid. Why are the checks so few? Would a daily check not more sense	1
245	Not working	1
246	Draining the battery	1
247	Good App	0
248	Too slow	1
249	Very very worst app.	1
250	All good! No problem installing or using \ud83d\udc4d	0
251	Good	0
252	Good	0
253	It works well in my end but why would we need a Bluetooth? It drains my battery. So I need to on/off it after confirming that I'm in a safe zone. Nice app anyway. Keep it up!	1
254	Well done	0
255	Sms verification code not received	1
256	Very helpful	0
257	Amazing \ud83d\ude0d\ud83d\ude0d\ud83d\udc4c\ud83d\udc4f\ud83d\udc4c\ud83d\ude4c\ud83d\ude0d	0
258	Does not recognise my NRIC	1
259	This is a very bad app don't waste your mobile deta and phone storage ..	1
260	Keep receiving invalid code though I have keyed in the correct code	1
261	Very helpful app	0
262	Use too much battery life I am just at home and it had 89% since morning and only use it for 30 mins max Once its night tine and i want to play Its on 30%	1
263	It's not showing my results	1
264	I give 5 star because this is INDIAN App	0
265	Staying safe	0
266	Great app	0
267	Useless	1
268	Good app overall, however I do not know whether it might affect my BT ear phone. It's harder to connect to my ear phones compared to before installing the app	1
269	We understand privacy, but if you are installing and trying to active with same Mobile number with same Qatar I'd...why it took long time to reactivate...?even consumer agent don't know how to reactivate, the fact the I already provide the basic information... I'm not happy with this app.even one star..I'm upset to give away for this app...no one answer 109...what are your caller agent doing...it's more than 3days....your app makes people sick even if NOT...\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24\ud83d\ude24seriously?	1
270	cant clear in history	1
271	A good attempt to give awareness and help on the part of the government.	0
272	ok	0
273	App doesn't start	1
274	Nice black theme implementation, I like it! Some of the preliminary text could be condensed and the full counterparts moved into menus though, currently it's long and tedious to read through. Once you're past that, the interface looks intuitive though. Good work!	0
275	great app thank yu	0
276	Independent research has showed the government got the security right. My experience has been great with battery. No issues with it at all. And although we've beaten the curve for the moment, see this as insurance.	1
277	No issues	0
278	Found the issue why I'm unable to progress with the NRIC registration. The app is not backward compatible with existing users. I need to uninstall and reinstall before it works.	1
279	Please enable option to "Pause until I turn it on" or pause for X hours. Now I need to do a force stop through phone settings to close the app. With working from home as the norm, it can be days before I leave the house. Alternatively, allow users to setup a schedule to on and off. Or if the use of GPS is not a privacy issue, detect that the user has left a certain area and switch it on. Google maps now allows a user to specify home location.	1
280	Best application for india country	0
281	Easy fill up ??	0
282	Latest update causes huge battery drain	1
283	Not working	1
284	It won't accept my phone number so I can't get far on the app, I uninstalled it and re- installed it and still won't except my phone number	1
285	updated the apps and decided to uninstall it due to collection of more info than expected. dont mind providing ic number and phone number. but extremely uncomfortable to key in birthdate and date of issue.	1
286	Amazing app. Hope enough people get it to finally rid these restrictions. \ud83d\udc4d\ud83c\udffc	0
287	What's the purpose behind accessing to media photos files even calls ? What's the relation between covid and my privacy files and data?	1
288	Initially didn't recognise my phone number, 5 attempts later accepted it. It then took 9 PIN requests because it never sent the PIN before the 5 minute time out.	1
289	No OTP comes. Very hard. Very worst app. I am trying one hour to install this. Tried to call 109, getting reply from all costumer care executives are busy. I want to go out. I was just trying to re install the app to show my name and dates on ehteraz	1
290	Why I can't open the apps I need to register	1
291	Hi please resolve mobile start with 89xxxxxx cannot register... Urgent Updated.. resolved the issue that cannot register..	1
292	Whomever the idiot was who thought of this app, you're an idiot AND a moron. Signing up alone requires a lot, not just an email and a password. It's a useless, unreliable app that you're forced to use to get around the nation.	1
293	Nice app	0
294	Excelent	0
295	Battery drain	1
296	Not working	1
297	Cool. Sorted. NiceðŸ™‚	0
298	Good info	0
299	Hi Govtech, the app is prompting me to check my connections when i tried to register my mobile number. Please advise. thanks	1
300	Useless app if not everyone gets tested or if not every doctor knows how to use it	1
301	Why do I give problems sometimes	1
302	Please include this important apps in all IOS devices. It's very good for Android. But idk why it Isn't available in IOS. Please include this apps on ios as soon as possible.	1
303	Can't register . It doesn't take my phone number. Ok After reading others review turns out you need wifi off for it to work . So poor.	1
304	the state may have run out its sms package	1
305	Very helpful	0
306	Easy to download. Keep everyone safe \ud83d\ude00	0
307	This app is useless it can't download many times l try	1
308	Not answering at all!	1
309	Very good information	0
310	I get why people would be unhappy about the app draining phone batteries. The idea is great... but its bypassing a lot of precautions and restrictions to stay awake and pull bluetooth information (polling), and agressive pinned notifications tend to be the most annoying type. Phone OS updates should help reduce wakelocks Other than that, it doesn't do much beyond tracking bluetooth IDs, like WiFi names, your phone/SIM network has your geo location, google/apple do too. Theyre beyond invasive.	1
311	today is my 3rd day of quarantine but up to now im not receiving any message . and i didn't see check in option on my shlonik app .	1
312	Please dont say you need to have the blutooth on for your health! Cause when we are not getting near to anyone or we are in our car, what is the good of it? And why sbould it have access to all of our data? Have you heard about basic Human rights for privacy?	1
313	Bad. Spotify becomes intermittent immediately when I download this app. The music keeps on skipping and pausing. I had this issue when you first launch this app. But I uninstalled it bcos if this issue. Apparently nothing has been done months after I uninstall. This is a big hassle for me. Pls do something. Phone: Note 8 Firmware: Up to date android.	1
314	Excellent	0
315	Tells me my mobile number is invalid	1
316	Good app	0
317	Staysafe is to contact trace and maintain social distancing to help and protect yourself, your loved ones, and the community. This app is very helpful to measure surrounded to us for our safety against covid19.	0
318	Why GCC nationality cant download EHTIRAZ?	1
319	Its a good app when it works correctly. I came from a low risk country, UK on 1st September. My airport and day 6 covid results came back negative and my app is still yellow on day 12. I have tried everything people/ 109 have suggested. I have rang 109 numerous times and they dont help. They logged a ticket 4 days ago and said the tech team will get back to me but I have heard nothing.	0
320	This app is bs, add mobile number says that it is invalid. How ridiculous and unhelpful in ever way. No point giving any rating when you can't pass step 2 because the design flaws. But to post this i have to give a star. Really it's worth 0 stars straight out honestly.	1
321	Will not let me put in my mobile number. It says Invalid number. Have tried installing it from Wi Fi and also Data. Uninstalled it and Installed it several times.	1
322	This app interfere with Bluetooth ldac audio, i am getting multiple lags everyday listening thru ldac codec while commuting. Need to lower to aptx or lower to maintain connection and latency.	1
323	Good for Android but not good for iPhone 6 plus	0
324	My bodyguard	0
325	The app keeps stopping whenever I open it. I am unable to even do anything	1
326	Useless	1
327	The principal of the app is good but on my s20 (and many others by reports) it caused apps not to complete downloading from the Play store and also give me delayed and repeated notifications. Once I uninstall the app and restart everything works correctly.	0
328	bad	1
329	Good job	0
330	Delete this type of app from play store their customer executive abuse people who will not pay loan in time even after 1 or 2 day of payment I m requested to take legal action against him	0
331	GOOD JOB SIR	0
332	Very needed in a time like this	0
333	I cannot register. Need advice	1
334	Bad experience, battery draining isn't the only problem with this app. Due to constant exchanges it causes all my bluetooth device to randomly disconnect frequently. Initially thought my devices were broken, but no, it's all due to this app. Have even tried different OS build + kernels but as long as I uninstall this app, the issue resolves itself. Won't be using this until the bluetooth disconnection issue is solved. Would not recommend others to use this unless no physical token.	1
335	Very Good App in the world	0
336	Slow to load and open name	0
337	Keeps closing	1
338	Very Informative	0
339	Today update old version it freezes to 63%. Uninstall and intall the new version. Fill up correctly all the information at Profile Page. Click next and nothing happens. Try it several times and still same issue.	1
340	a bugger to install...	1
341	Good	0
342	My NRIC and birthdate is apparently wrong even though it is correct. Help.	1
343	Perfect app serving the important goal.	0
344	It's not working perfectly	1
345	Good appk	0
346	Good	0
347	Very helpful and friendly.	0
348	nice	0
349	Good to use	0
350	I am unable to see my test results and I believe there is some bug issue which need to be addressed by concerns.	1
351	Good	0
352	Too easy, great cause. Good on you Scomo	0
353	Good ! Now everyone use it so we can finally get over with this virus ! The more implication, the less time we still live with it !	0
354	Indian government is is best gov.	0
355	Awesome	0
356	Nice	0
357	Super app	0
358	Very proud of this made in India app	0
359	i can't select the nationality in the sign up page therefori cant use the other app which is for umra. fix it	1
360	Good	0
361	Very valuable information about reasons	0
362	Simple enough to use, good to see you can check daily in with symptoms.. I would have one comment about the explanation of the temperature, I had hot skin, increased temperature but no where near 38 deg... some of recent health advises get tested for vague cold flu symptoms..	0
363	update needs	1
364	Nice application	0
365	Time wast Not usefull and poor	1
366	Very dubious that it actually works. Keeps saying for me to turn on my Bluetooth for app to work wen my Bluetooth is already working. I have reinstalled app a few times now and still the same. Not confident in this or our government for paying for this to be created	1
367	Vary bad	1
368	Not good no working	1
369	Can't input my mobile number. Stalled at 'proceed'	1
370	Interferes with other Bluetooth apps especially connection to car. Deleted.	1
371	I started promoting this app to help the government track people easily but it looks like it's being made redundant since they using other means of contact tracing as compulsory soon. I don't know why i bother supporting this app	1
372	Cant register in this app, I've tried so many times with the correct details but still popping out " Request OTP Error " Plese improve the app	1
373	Good	0
374	Worse	1
375	Good	0
376	The app is useless. Data is not accurate in East Indonesia.	1
377	Created very quickly.	0
378	It is a very useless app	1
